#Recorded data from Servotor32
#datetime: 07-09-2020_18h-30m-11s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_unloaded_07-09-2020_18h-30m-11s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: on floor, tripod
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,5.635,0.135,3.135,5.635,3.135,0.135,-0.057,0.0,0.055,0.079,-0.085,0.026,0.0,0.0,0.055,0.079,0.0,0.026,0.861,-0.861,0.0,1.722,0.0,-1.722,0.861,0.0,0.0,0.861,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.93,0.057,0.533,0.93,0.533,0.057,5.635,0.135,3.135,5.635,3.135,0.135,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.105,0.0,5.327,-5.327,0.0,5.327,0.0,-5.327,5.586,-0.007,2.993,5.586,2.993,-0.007,-0.069,0.02,-0.014,0.033,-0.021,0.039,0.0,0.02,0.0,0.033,0.0,0.039,1.722,-1.722,0.0,1.722,0.0,-1.722,0.177,0.0,0.0,0.177,0.0,0.0,3.0,2.996,3.0,3.0,3.0,2.996,0.0,-0.007,0.0,0.0,0.0,-0.007,6.0,6.0,6.0,6.0,6.0,6.0,0.927,0.05,0.498,0.927,0.498,0.05,5.635,0.135,3.135,5.635,3.135,0.135,0.981,0.98,0.981,0.981,0.981,0.98
2,1,0.107,0.105,0.014,1.881,-1.881,0.0,1.881,0.0,-1.881,5.444,-0.148,2.852,5.444,2.852,-0.148,0.025,0.014,0.007,0.093,-0.099,0.039,0.025,0.014,0.007,0.093,0.0,0.039,0.353,-0.353,0.0,0.353,0.0,-0.353,0.0,0.0,0.0,0.0,0.0,0.0,2.793,2.926,3.0,2.793,3.0,2.926,0.0,-0.148,0.0,0.0,0.0,-0.148,5.586,6.0,6.0,5.586,6.0,6.0,0.942,0.05,0.464,0.942,0.464,0.05,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.958,0.981,1.054,0.981,0.958
3,2,0.212,0.105,0.007,0.362,-0.361,0.0,0.362,0.0,-0.361,5.303,-0.156,2.71,5.303,2.71,-0.156,-0.044,0.02,0.007,0.053,-0.085,0.098,0.0,0.02,0.007,0.053,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.256,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.934,0.05,0.429,0.934,0.429,0.05,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
4,3,0.319,0.105,0.005,0.07,1.174,-1.243,0.07,-1.243,1.174,5.161,0.227,2.568,5.161,2.568,0.227,-0.082,-0.007,0.007,0.033,-0.049,0.026,0.0,0.0,0.007,0.033,0.0,0.026,0.0,0.513,-0.513,0.0,-0.513,0.513,0.0,0.999,0.0,0.0,0.0,0.999,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.924,0.071,0.396,0.924,0.396,0.071,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
5,4,0.427,0.105,0.015,0.013,5.066,-5.079,0.013,-5.079,5.066,5.019,0.61,2.426,5.019,2.426,0.61,-0.107,0.034,0.069,0.04,-0.085,0.033,0.0,0.034,0.069,0.04,0.0,0.033,0.0,1.997,-1.997,0.0,-1.997,1.997,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.913,0.099,0.363,0.913,0.363,0.099,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
6,5,0.532,0.105,0.01,0.003,5.82,-5.823,0.003,-5.823,5.82,4.877,0.994,2.285,4.877,2.285,0.994,-0.088,0.439,0.041,0.007,-0.035,0.359,0.0,0.439,0.041,0.007,0.0,0.359,0.0,2.0,-2.0,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.9,0.137,0.331,0.9,0.331,0.137,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
7,6,0.64,0.106,0.005,-0.016,5.495,-5.479,-0.016,-5.479,5.495,4.734,1.327,2.145,4.734,2.141,1.332,-0.013,0.899,0.007,-0.013,-0.092,0.908,0.0,0.899,0.007,0.0,0.0,0.908,-0.007,1.807,-1.8,-0.007,-1.8,1.807,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.886,0.179,0.302,0.886,0.301,0.179,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
8,7,0.747,0.105,0.015,0.044,5.775,-5.819,0.044,-5.819,5.775,4.592,1.71,2.011,4.61,2.0,1.705,-0.075,1.0,0.014,0.033,-0.07,0.98,0.0,1.0,0.014,0.033,0.0,0.98,0.019,1.947,-1.966,0.019,-1.966,1.947,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.869,0.239,0.275,0.872,0.273,0.238,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
9,8,0.853,0.105,0.011,-0.009,5.941,-5.932,-0.009,-5.932,5.941,4.451,2.093,1.876,4.472,1.858,2.088,-0.075,1.014,0.014,0.007,-0.085,1.026,0.0,1.0,0.014,0.007,0.0,1.0,-0.007,1.993,-1.986,-0.007,-1.986,1.993,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.852,0.312,0.249,0.854,0.246,0.31,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
10,9,0.961,0.105,0.006,-0.152,5.989,-5.836,-0.152,-5.836,5.989,4.309,2.476,1.767,4.33,1.716,2.471,-0.05,1.007,0.062,-0.007,-0.085,1.0,0.0,1.0,0.062,0.0,0.0,1.0,-0.062,2.0,-1.938,-0.062,-1.938,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.832,0.395,0.23,0.835,0.221,0.394,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
11,10,1.067,0.105,0.015,-0.18,5.998,-5.818,-0.18,-5.818,5.998,4.167,2.86,1.658,4.188,1.574,2.855,-0.088,1.027,0.062,-0.007,-0.092,1.013,0.0,1.0,0.062,0.0,0.0,1.0,-0.062,2.0,-1.938,-0.062,-1.938,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793,2.922,3.0,2.793,3.0,2.922,0.0,-0.156,0.0,0.0,0.0,-0.156,5.586,6.0,6.0,5.586,6.0,6.0,0.81,0.485,0.211,0.813,0.198,0.484,5.635,0.135,3.135,5.635,3.135,0.135,1.054,0.957,0.981,1.054,0.981,0.957
